,(a;b),input_a,input_b,operand,const
0,"(9,2)",9,2,sum,6
1,"(8,1)",8,1,sum,6
2,"(4,8)",4,8,sum,6
3,"(7,2)",7,2,sum,6
4,"(0,6)",0,6,sum,6
5,"(2,5)",2,5,sum,6
6,"(5,0)",5,0,sum,6
7,"(4,9)",4,9,sum,6
8,"(2,1)",2,1,sum,6
9,"(7,6)",7,6,sum,6
10,"(4,3)",4,3,sum,6
11,"(9,8)",9,8,sum,6
12,"(5,0)",5,0,sum,6
13,"(8,5)",8,5,sum,6
14,"(6,2)",6,2,sum,6
15,"(1,2)",1,2,sum,6
16,"(2,7)",2,7,sum,6
17,"(3,4)",3,4,sum,6
18,"(6,2)",6,2,sum,6
19,"(5,6)",5,6,sum,6
20,"(3,4)",3,4,sum,6
21,"(3,8)",3,8,sum,6
22,"(0,1)",0,1,sum,6
23,"(1,7)",1,7,sum,6
24,"(5,0)",5,0,sum,6
25,"(6,0)",6,0,sum,6
26,"(7,6)",7,6,sum,6
27,"(7,0)",7,0,sum,6
28,"(4,4)",4,4,sum,6
29,"(2,5)",2,5,sum,6
30,"(4,5)",4,5,sum,6
31,"(2,7)",2,7,sum,6
32,"(6,3)",6,3,sum,6
33,"(7,9)",7,9,sum,6
34,"(6,2)",6,2,sum,6
35,"(1,2)",1,2,sum,6
36,"(6,9)",6,9,sum,6
37,"(2,4)",2,4,sum,6
38,"(7,8)",7,8,sum,6
39,"(1,6)",1,6,sum,6
40,"(1,6)",1,6,sum,6
41,"(1,9)",1,9,sum,6
42,"(0,7)",0,7,sum,6
43,"(4,7)",4,7,sum,6
44,"(3,5)",3,5,sum,6
45,"(1,7)",1,7,sum,6
46,"(5,8)",5,8,sum,6
47,"(5,1)",5,1,sum,6
48,"(8,8)",8,8,sum,6
49,"(6,6)",6,6,sum,6
50,"(5,2)",5,2,sum,6
51,"(3,5)",3,5,sum,6
52,"(9,9)",9,9,sum,6
53,"(2,4)",2,4,sum,6
54,"(9,7)",9,7,sum,6
55,"(0,2)",0,2,sum,6
56,"(0,2)",0,2,sum,6
57,"(0,1)",0,1,sum,6
58,"(6,1)",6,1,sum,6
59,"(9,3)",9,3,sum,6
60,"(4,2)",4,2,sum,6
61,"(0,3)",0,3,sum,6
62,"(6,3)",6,3,sum,6
63,"(9,7)",9,7,sum,6
64,"(3,4)",3,4,sum,6
65,"(5,7)",5,7,sum,6
66,"(9,6)",9,6,sum,6
67,"(3,4)",3,4,sum,6
68,"(7,4)",7,4,sum,6
69,"(7,9)",7,9,sum,6
70,"(5,7)",5,7,sum,6
71,"(5,8)",5,8,sum,6
72,"(0,6)",0,6,sum,6
73,"(1,0)",1,0,sum,6
74,"(2,2)",2,2,sum,6
75,"(3,7)",3,7,sum,6
76,"(1,7)",1,7,sum,6
77,"(9,9)",9,9,sum,6
78,"(2,9)",2,9,sum,6
79,"(4,8)",4,8,sum,6
80,"(5,4)",5,4,sum,6
81,"(2,6)",2,6,sum,6
82,"(1,6)",1,6,sum,6
83,"(6,2)",6,2,sum,6
84,"(4,1)",4,1,sum,6
85,"(2,7)",2,7,sum,6
86,"(6,5)",6,5,sum,6
87,"(9,4)",9,4,sum,6
88,"(8,1)",8,1,sum,6
89,"(9,4)",9,4,sum,6
90,"(4,0)",4,0,sum,6
91,"(4,3)",4,3,sum,6
92,"(5,1)",5,1,sum,6
93,"(3,5)",3,5,sum,6
94,"(2,5)",2,5,sum,6
95,"(2,7)",2,7,sum,6
96,"(2,3)",2,3,sum,6
97,"(1,3)",1,3,sum,6
98,"(0,6)",0,6,sum,6
99,"(1,8)",1,8,sum,6
